station_name,latitude,longitude,sensor_id,station_id,pollutant,pollutant_symbol,pollutant_code,pollutant_id
"Białystok, ul. Warszawska",53.129306,23.181744,4024,609,pył zawieszony PM10,PM10,PM10,3
"Białystok, ul. 42 Pułku Piechoty",53.144122,23.216322,19716,11174,dwutlenek siarki,SO2,SO2,1
"Białystok, ul. 42 Pułku Piechoty",53.144122,23.216322,19718,11174,ozon,O3,O3,5
"Białystok, ul. 42 Pułku Piechoty",53.144122,23.216322,19719,11174,dwutlenek azotu,NO2,NO2,6
"Białystok, ul. 42 Pułku Piechoty",53.144122,23.216322,25908,11174,pył zawieszony PM10,PM10,PM10,3
"Białystok, ul. 42 Pułku Piechoty",53.144122,23.216322,25909,11174,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Białystok, al.Piłsudskiego",53.135286,23.161325,21223,11814,benzen,C6H6,C6H6,10
"Białystok, al.Piłsudskiego",53.135286,23.161325,28731,11814,tlenek węgla,CO,CO,8
"Białystok, al.Piłsudskiego",53.135286,23.161325,26323,11814,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Białystok, al.Piłsudskiego",53.135286,23.161325,21243,11814,pył zawieszony PM10,PM10,PM10,3
"Białystok, al.Piłsudskiego",53.135286,23.161325,21244,11814,dwutlenek azotu,NO2,NO2,6
"Borsukowizna, Szkółka Leśna",53.215492,23.642153,4040,612,dwutlenek azotu,NO2,NO2,6
"Borsukowizna, Szkółka Leśna",53.215492,23.642153,4042,612,ozon,O3,O3,5
"Borsukowizna, Szkółka Leśna",53.215492,23.642153,4045,612,dwutlenek siarki,SO2,SO2,1
"Borsukowizna, Szkółka Leśna",53.215492,23.642153,19657,612,pył zawieszony PM10,PM10,PM10,3
"Borsukowizna, Szkółka Leśna",53.215492,23.642153,19696,612,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Łomża, ul. Sikorskiego",53.181394,22.054381,4075,618,dwutlenek azotu,NO2,NO2,6
"Łomża, ul. Sikorskiego",53.181394,22.054381,4079,618,pył zawieszony PM10,PM10,PM10,3
"Łomża, ul. Sikorskiego",53.181394,22.054381,4082,618,dwutlenek siarki,SO2,SO2,1
"Grajewo, ul. Wojska Polskiego",53.639793,22.470274,16217,9994,benzen,C6H6,C6H6,10
"Grajewo, ul. Wojska Polskiego",53.639793,22.470274,16220,9994,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Grajewo, ul. Wojska Polskiego",53.639793,22.470274,16128,9994,dwutlenek azotu,NO2,NO2,6
"Grajewo, ul. Wojska Polskiego",53.639793,22.470274,16130,9994,pył zawieszony PM10,PM10,PM10,3
"Suwałki, ul. Pułaskiego 26",54.115897,22.938464,19697,11154,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Augustów, Uzdrowisko",53.852550,22.984686,21345,11916,dwutlenek azotu,NO2,NO2,6
"Augustów, Uzdrowisko",53.852550,22.984686,21348,11916,tlenek węgla,CO,CO,8
"Augustów, Uzdrowisko",53.852550,22.984686,21349,11916,ozon,O3,O3,5
"Augustów, Uzdrowisko",53.852550,22.984686,21323,11916,pył zawieszony PM10,PM10,PM10,3
"Augustów, Uzdrowisko",53.852550,22.984686,21324,11916,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Gdańsk, ul. Wyzwolenia",54.400833,18.657497,4703,731,dwutlenek azotu,NO2,NO2,6
"Gdańsk, ul. Wyzwolenia",54.400833,18.657497,4706,731,pył zawieszony PM10,PM10,PM10,3
"Gdańsk, ul. Wyzwolenia",54.400833,18.657497,4707,731,dwutlenek siarki,SO2,SO2,1
"Gdańsk, ul. Wyzwolenia",54.400833,18.657497,27667,731,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Gdynia, ul. Porębskiego",54.560836,18.493331,4712,732,dwutlenek azotu,NO2,NO2,6
"Gdynia, ul. Porębskiego",54.560836,18.493331,4714,732,ozon,O3,O3,5
"Gdynia, ul. Porębskiego",54.560836,18.493331,4715,732,pył zawieszony PM10,PM10,PM10,3
"Gdynia, ul. Porębskiego",54.560836,18.493331,4717,732,dwutlenek siarki,SO2,SO2,1
