station_name,latitude,longitude,sensor_id,station_id,pollutant,pollutant_symbol,pollutant_code,pollutant_id
"Szczecin, ul. Piłsudskiego",53.432169,14.553900,6379,987,dwutlenek azotu,NO2,NO2,6
"Szczecin, ul. Piłsudskiego",53.432169,14.553900,6382,987,pył zawieszony PM10,PM10,PM10,3
"Szczecin, ul. Piłsudskiego",53.432169,14.553900,6383,987,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Szczecin, ul. Piłsudskiego",53.432169,14.553900,6385,987,dwutlenek siarki,SO2,SO2,1
"Ustka, ul. Rybacka",54.582515,16.873625,28788,16265,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Ustka, ul. Rybacka",54.582515,16.873625,26276,16265,pył zawieszony PM10,PM10,PM10,3
"Dąbrowa Górnicza, ul. Tysiąclecia",50.329111,19.231222,5274,805,benzen,C6H6,C6H6,10
"Dąbrowa Górnicza, ul. Tysiąclecia",50.329111,19.231222,5277,805,tlenek węgla,CO,CO,8
"Dąbrowa Górnicza, ul. Tysiąclecia",50.329111,19.231222,5281,805,dwutlenek azotu,NO2,NO2,6
"Dąbrowa Górnicza, ul. Tysiąclecia",50.329111,19.231222,5283,805,ozon,O3,O3,5
"Dąbrowa Górnicza, ul. Tysiąclecia",50.329111,19.231222,5286,805,pył zawieszony PM10,PM10,PM10,3
"Dąbrowa Górnicza, ul. Tysiąclecia",50.329111,19.231222,5290,805,dwutlenek siarki,SO2,SO2,1
"Gliwice, ul. Mewy",50.279481,18.655736,5312,809,pył zawieszony PM10,PM10,PM10,3
"Gliwice, ul. Mewy",50.279481,18.655736,5317,809,dwutlenek siarki,SO2,SO2,1
"Gliwice, ul. Mewy",50.279481,18.655736,21327,809,benzen,C6H6,C6H6,10
"Katowice, ul. Plebiscytowa/A4",50.246795,19.019469,5343,813,tlenek węgla,CO,CO,8
"Katowice, ul. Plebiscytowa/A4",50.246795,19.019469,5346,813,dwutlenek azotu,NO2,NO2,6
"Katowice, ul. Plebiscytowa/A4",50.246795,19.019469,5349,813,pył zawieszony PM10,PM10,PM10,3
"Katowice, ul. Plebiscytowa/A4",50.246795,19.019469,25931,813,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Katowice, ul. Kossutha",50.264611,18.975028,5371,814,dwutlenek azotu,NO2,NO2,6
"Katowice, ul. Kossutha",50.264611,18.975028,5373,814,ozon,O3,O3,5
"Katowice, ul. Kossutha",50.264611,18.975028,5376,814,pył zawieszony PM10,PM10,PM10,3
"Katowice, ul. Kossutha",50.264611,18.975028,5378,814,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Katowice, ul. Kossutha",50.264611,18.975028,5382,814,dwutlenek siarki,SO2,SO2,1
"Sosnowiec, ul. Lubelska",50.285956,19.184399,5478,837,dwutlenek azotu,NO2,NO2,6
"Sosnowiec, ul. Lubelska",50.285956,19.184399,5480,837,pył zawieszony PM10,PM10,PM10,3
"Tychy, ul. Tołstoja",50.099903,18.990236,5501,841,dwutlenek azotu,NO2,NO2,6
"Tychy, ul. Tołstoja",50.099903,18.990236,5505,841,pył zawieszony PM10,PM10,PM10,3
"Tychy, ul. Tołstoja",50.099903,18.990236,5508,841,dwutlenek siarki,SO2,SO2,1
"Zabrze, ul. M. Curie-Skłodowskiej",50.3165,18.772375,5573,848,pył zawieszony PM10,PM10,PM10,3
"Zabrze, ul. M. Curie-Skłodowskiej",50.3165,18.772375,5579,848,dwutlenek siarki,SO2,SO2,1
"Zabrze, ul. M. Curie-Skłodowskiej",50.3165,18.772375,5564,848,tlenek węgla,CO,CO,8
"Zabrze, ul. M. Curie-Skłodowskiej",50.3165,18.772375,5568,848,dwutlenek azotu,NO2,NO2,6
"Zabrze, ul. M. Curie-Skłodowskiej",50.3165,18.772375,5570,848,ozon,O3,O3,5
"Rybnik, ul. Borki",50.111181,18.516139,5454,834,benzen,C6H6,C6H6,10
"Rybnik, ul. Borki",50.111181,18.516139,5457,834,tlenek węgla,CO,CO,8
"Rybnik, ul. Borki",50.111181,18.516139,5461,834,dwutlenek azotu,NO2,NO2,6
"Rybnik, ul. Borki",50.111181,18.516139,5463,834,ozon,O3,O3,5
"Rybnik, ul. Borki",50.111181,18.516139,5466,834,pył zawieszony PM10,PM10,PM10,3
"Rybnik, ul. Borki",50.111181,18.516139,5470,834,dwutlenek siarki,SO2,SO2,1
"Żory, Os. Gen. Władysława Sikorskiego",50.029416,18.689527,17439,10554,dwutlenek siarki,SO2,SO2,1
"Żory, Os. Gen. Władysława Sikorskiego",50.029416,18.689527,17443,10554,tlenek węgla,CO,CO,8
"Jastrzębie-Zdrój, Al.J.Piłsudskiego/Harcerska",49.952544,18.607953,21228,11855,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Jastrzębie-Zdrój, Al.J.Piłsudskiego/Harcerska",49.952544,18.607953,21252,11855,dwutlenek azotu,NO2,NO2,6
"Bielsko-Biała, ul. Kossak-Szczuckiej",49.813464,19.027318,5162,789,dwutlenek azotu,NO2,NO2,6
"Bielsko-Biała, ul. Kossak-Szczuckiej",49.813464,19.027318,5164,789,ozon,O3,O3,5
"Bielsko-Biała, ul. Kossak-Szczuckiej",49.813464,19.027318,5167,789,pył zawieszony PM10,PM10,PM10,3
"Bielsko-Biała, ul. Kossak-Szczuckiej",49.813464,19.027318,5171,789,dwutlenek siarki,SO2,SO2,1
"Bielsko-Biała, ul. Kossak-Szczuckiej",49.813464,19.027318,16705,789,benzen,C6H6,C6H6,10
"Bielsko-Biała, ul.Partyzantów",49.802075,19.048610,16549,10158,dwutlenek azotu,NO2,NO2,6
"Bielsko-Biała, ul.Partyzantów",49.802075,19.048610,16550,10158,tlenek węgla,CO,CO,8
"Bielsko-Biała, ul.Partyzantów",49.802075,19.048610,16551,10158,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Częstochowa, ul. AK/Jana Pawła II",50.817217,19.118997,5228,798,tlenek węgla,CO,CO,8
"Częstochowa, ul. AK/Jana Pawła II",50.817217,19.118997,5230,798,dwutlenek azotu,NO2,NO2,6
"Częstochowa, ul. AK/Jana Pawła II",50.817217,19.118997,5232,798,pył zawieszony PM10,PM10,PM10,3
"Częstochowa, ul. Baczyńskiego",50.836389,19.130111,5250,800,dwutlenek azotu,NO2,NO2,6
"Częstochowa, ul. Baczyńskiego",50.836389,19.130111,5253,800,ozon,O3,O3,5
"Częstochowa, ul. Baczyńskiego",50.836389,19.130111,5256,800,pył zawieszony PM10,PM10,PM10,3
"Częstochowa, ul. Baczyńskiego",50.836389,19.130111,5260,800,dwutlenek siarki,SO2,SO2,1
"Częstochowa, ul. Baczyńskiego",50.836389,19.130111,14913,800,benzen,C6H6,C6H6,10
"Ustroń, ul. Sanatoryjna",49.719731,18.826722,5512,842,dwutlenek azotu,NO2,NO2,6
"Ustroń, ul. Sanatoryjna",49.719731,18.826722,5514,842,ozon,O3,O3,5
"Ustroń, ul. Sanatoryjna",49.719731,18.826722,5515,842,pył zawieszony PM10,PM10,PM10,3
"Ustroń, ul. Sanatoryjna",49.719731,18.826722,5516,842,dwutlenek siarki,SO2,SO2,1
